,location,date,total_deaths
579,Armenia,2020-04-07,8
580,Armenia,2020-04-08,8
581,Armenia,2020-04-09,9
582,Armenia,2020-04-10,10
583,Armenia,2020-04-11,11
584,Armenia,2020-04-12,13
585,Armenia,2020-04-13,13
586,Armenia,2020-04-14,14
587,Armenia,2020-04-15,17
588,Armenia,2020-04-16,18
589,Armenia,2020-04-17,19
590,Armenia,2020-04-18,20
591,Armenia,2020-04-19,20
592,Armenia,2020-04-20,22
593,Armenia,2020-04-21,24
594,Armenia,2020-04-22,24
595,Armenia,2020-04-23,24
596,Armenia,2020-04-24,27
597,Armenia,2020-04-25,28
598,Armenia,2020-04-26,28
599,Armenia,2020-04-27,29
600,Armenia,2020-04-28,30
601,Armenia,2020-04-29,30
602,Antigua and Barbuda,2020-03-15,0
603,Antigua and Barbuda,2020-03-21,0
604,Antigua and Barbuda,2020-03-22,0
605,Antigua and Barbuda,2020-03-23,0
606,Antigua and Barbuda,2020-03-24,0
607,Antigua and Barbuda,2020-03-25,0
608,Antigua and Barbuda,2020-03-26,0
609,Antigua and Barbuda,2020-03-27,0
610,Antigua and Barbuda,2020-03-28,0
611,Antigua and Barbuda,2020-03-29,0
612,Antigua and Barbuda,2020-03-30,0
613,Antigua and Barbuda,2020-03-31,0
614,Antigua and Barbuda,2020-04-01,0
615,Antigua and Barbuda,2020-04-02,0
616,Antigua and Barbuda,2020-04-03,0
617,Antigua and Barbuda,2020-04-04,0
618,Antigua and Barbuda,2020-04-05,0
619,Antigua and Barbuda,2020-04-06,0
620,Antigua and Barbuda,2020-04-07,0
621,Antigua and Barbuda,2020-04-08,0
622,Antigua and Barbuda,2020-04-09,0
623,Antigua and Barbuda,2020-04-10,2
624,Antigua and Barbuda,2020-04-11,2
625,Antigua and Barbuda,2020-04-12,2
626,Antigua and Barbuda,2020-04-13,2
627,Antigua and Barbuda,2020-04-14,2
628,Antigua and Barbuda,2020-04-15,2
629,Antigua and Barbuda,2020-04-16,2
630,Antigua and Barbuda,2020-04-17,2
631,Antigua and Barbuda,2020-04-18,2
632,Antigua and Barbuda,2020-04-19,2
633,Antigua and Barbuda,2020-04-20,2
634,Antigua and Barbuda,2020-04-21,3
635,Antigua and Barbuda,2020-04-22,3
636,Antigua and Barbuda,2020-04-23,3
637,Antigua and Barbuda,2020-04-24,3
638,Antigua and Barbuda,2020-04-25,3
639,Antigua and Barbuda,2020-04-26,3
640,Antigua and Barbuda,2020-04-27,3
641,Antigua and Barbuda,2020-04-28,3
642,Antigua and Barbuda,2020-04-29,3
643,Australia,2019-12-31,0
644,Australia,2020-01-01,0
645,Australia,2020-01-02,0
646,Australia,2020-01-03,0
647,Australia,2020-01-04,0
648,Australia,2020-01-05,0
649,Australia,2020-01-06,0
650,Australia,2020-01-07,0
651,Australia,2020-01-08,0
652,Australia,2020-01-09,0
653,Australia,2020-01-10,0
654,Australia,2020-01-11,0
655,Australia,2020-01-12,0
656,Australia,2020-01-13,0
657,Australia,2020-01-14,0
658,Australia,2020-01-15,0
659,Australia,2020-01-16,0
660,Australia,2020-01-17,0
661,Australia,2020-01-18,0
662,Australia,2020-01-19,0
663,Australia,2020-01-20,0
664,Australia,2020-01-21,0
665,Australia,2020-01-22,0
666,Australia,2020-01-23,0
667,Australia,2020-01-24,0
668,Australia,2020-01-25,0
669,Australia,2020-01-26,0
670,Australia,2020-01-27,0
671,Australia,2020-01-28,0
672,Australia,2020-01-29,0
673,Australia,2020-01-30,0
674,Australia,2020-01-31,0
675,Australia,2020-02-01,0
676,Australia,2020-02-02,0
677,Australia,2020-02-03,0
678,Australia,2020-02-04,0
679,Australia,2020-02-05,0
680,Australia,2020-02-06,0
681,Australia,2020-02-07,0
682,Australia,2020-02-08,0
683,Australia,2020-02-09,0
684,Australia,2020-02-10,0
685,Australia,2020-02-11,0
686,Australia,2020-02-12,0
687,Australia,2020-02-13,0
688,Australia,2020-02-14,0
689,Australia,2020-02-15,0
690,Australia,2020-02-16,0
691,Australia,2020-02-17,0
692,Australia,2020-02-18,0
693,Australia,2020-02-19,0
694,Australia,2020-02-20,0
695,Australia,2020-02-21,0
696,Australia,2020-02-22,0
697,Australia,2020-02-23,0
698,Australia,2020-02-24,0
699,Australia,2020-02-25,0
700,Australia,2020-02-26,0
701,Australia,2020-02-27,0
702,Australia,2020-02-28,0
703,Australia,2020-02-29,0
704,Australia,2020-03-01,1
705,Australia,2020-03-02,1
706,Australia,2020-03-03,1
707,Australia,2020-03-04,1
708,Australia,2020-03-05,2
709,Australia,2020-03-06,2
710,Australia,2020-03-07,2
711,Australia,2020-03-08,3
712,Australia,2020-03-09,3
713,Australia,2020-03-10,3
714,Australia,2020-03-11,3
715,Australia,2020-03-12,3
716,Australia,2020-03-13,3
717,Australia,2020-03-14,3
718,Australia,2020-03-15,3
719,Australia,2020-03-16,5
720,Australia,2020-03-17,5
721,Australia,2020-03-18,5
722,Australia,2020-03-19,6
723,Australia,2020-03-20,6
724,Australia,2020-03-21,7
725,Australia,2020-03-22,7
726,Australia,2020-03-23,7
727,Australia,2020-03-24,7
728,Australia,2020-03-25,8
729,Australia,2020-03-26,11
730,Australia,2020-03-27,13
731,Australia,2020-03-28,13
732,Australia,2020-03-29,14
733,Australia,2020-03-30,16
734,Australia,2020-03-31,19
735,Australia,2020-04-01,20
736,Australia,2020-04-02,21
737,Australia,2020-04-03,23
738,Australia,2020-04-04,30
739,Australia,2020-04-05,34
740,Australia,2020-04-06,36
741,Australia,2020-04-07,42
742,Australia,2020-04-08,45
743,Australia,2020-04-09,50
